,train,val,test
0,normal_030,patient_018_node_0,patient_000_node_3
1,normal_021,patient_079_node_4,normal_092
2,normal_018,patient_002_node_4,normal_038
3,normal_064,test_067,test_042
4,normal_135,test_128,patient_055_node_2
5,normal_048,patient_041_node_1,patient_070_node_0
6,normal_066,normal_125,normal_023
7,normal_052,patient_055_node_4,test_055
8,normal_031,patient_050_node_1,normal_075
9,normal_014,normal_141,normal_043
10,normal_097,test_087,patient_043_node_4
11,normal_034,patient_074_node_1,test_085
12,normal_119,test_032,patient_044_node_2
13,normal_085,patient_032_node_3,patient_095_node_2
14,normal_073,normal_106,patient_099_node_2
15,normal_026,normal_137,patient_044_node_1
16,normal_056,patient_000_node_1,normal_080
17,normal_013,patient_078_node_0,patient_078_node_2
18,normal_152,patient_025_node_1,patient_082_node_0
19,normal_122,patient_040_node_1,normal_004
20,normal_001,normal_114,normal_042
21,normal_128,patient_082_node_3,patient_092_node_2
22,normal_121,patient_090_node_3,normal_081
23,normal_044,normal_047,patient_093_node_1
24,normal_060,patient_042_node_1,patient_034_node_1
25,normal_126,normal_104,patient_079_node_3
26,normal_094,normal_037,normal_093
27,normal_045,patient_006_node_1,normal_158
28,normal_116,patient_032_node_2,normal_040
29,normal_142,patient_012_node_4,patient_007_node_1
30,normal_071,patient_003_node_2,patient_074_node_3
31,normal_145,normal_131,normal_011
32,normal_070,normal_143,normal_041
33,normal_101,normal_151,normal_110
34,normal_009,test_045,normal_078
35,normal_089,normal_139,patient_015_node_0
36,normal_100,patient_058_node_1,test_063
37,normal_102,patient_007_node_3,patient_013_node_0
38,normal_082,patient_046_node_2,normal_029
39,normal_076,test_009,test_098
40,normal_068,test_111,normal_062
41,normal_107,patient_075_node_2,patient_004_node_0
42,normal_138,patient_056_node_4,test_124
43,normal_019,patient_012_node_3,test_095
44,normal_036,patient_046_node_1,normal_134
45,normal_159,normal_051,test_086
46,normal_077,patient_034_node_2,test_072
47,normal_032,patient_083_node_2,patient_048_node_4
48,normal_084,patient_038_node_1,test_020
49,normal_088,patient_023_node_3,normal_022
50,normal_105,patient_031_node_1,patient_047_node_0
51,normal_006,patient_053_node_2,patient_065_node_2
52,normal_002,patient_017_node_0,patient_008_node_1
53,normal_136,patient_020_node_3,normal_115
54,normal_065,patient_079_node_0,patient_053_node_1
55,normal_012,normal_024,patient_088_node_0
56,normal_144,tumor_093,patient_093_node_4
57,normal_079,test_092,patient_033_node_2
58,normal_005,tumor_097,tumor_070
59,normal_130,test_097,patient_021_node_0
60,normal_095,tumor_025,patient_045_node_0
61,normal_020,patient_096_node_2,patient_004_node_4
62,normal_155,tumor_035,tumor_006
63,normal_061,tumor_041,tumor_061
64,normal_112,patient_037_node_1,test_121
65,normal_033,test_033,patient_039_node_0
66,normal_127,patient_094_node_4,test_102
67,normal_049,patient_013_node_2,test_114
68,normal_025,test_116,patient_096_node_4
69,normal_072,patient_091_node_4,patient_094_node_1
70,normal_113,patient_063_node_3,tumor_023
71,normal_124,tumor_029,patient_022_node_4
72,normal_057,patient_068_node_1,tumor_020
73,normal_027,patient_084_node_3,patient_063_node_0
74,normal_028,patient_017_node_4,patient_041_node_0
75,normal_063,tumor_049,tumor_012
76,normal_046,tumor_053,patient_092_node_4
77,normal_091,tumor_046,patient_038_node_2
78,normal_103,tumor_011,tumor_090
79,normal_150,test_108,patient_092_node_1
80,normal_067,patient_092_node_3,patient_052_node_3
81,normal_148,test_069,patient_033_node_1
82,normal_160,patient_064_node_3,test_074
83,normal_015,patient_024_node_2,tumor_067
84,normal_111,patient_022_node_0,patient_047_node_2
85,normal_099,test_065,tumor_019
86,normal_055,tumor_027,tumor_103
87,normal_058,tumor_109,patient_087_node_0
88,normal_053,tumor_091,patient_032_node_1
89,test_003,test_104,patient_097_node_3
90,test_005,,
91,test_006,,
92,test_007,,
93,test_012,,
94,test_014,,
95,test_015,,
96,test_017,,
97,test_018,,
98,test_019,,
99,test_022,,
100,test_023,,
101,test_024,,
102,test_025,,
103,test_028,,
104,normal_059,,
105,test_031,,
106,test_034,,
107,test_035,,
108,test_036,,
109,test_037,,
110,test_039,,
111,test_041,,
112,test_043,,
113,test_044,,
114,test_047,,
115,test_050,,
116,test_053,,
117,test_054,,
118,test_056,,
119,test_057,,
120,test_058,,
121,test_059,,
122,test_060,,
123,test_062,,
124,test_070,,
125,normal_146,,
126,test_076,,
127,test_077,,
128,test_078,,
129,test_080,,
130,test_081,,
131,normal_087,,
132,test_083,,
133,test_088,,
134,test_089,,
135,test_091,,
136,normal_098,,
137,test_093,,
138,test_096,,
139,test_100,,
140,test_101,,
141,normal_120,,
142,test_103,,
143,test_106,,
144,test_107,,
145,test_109,,
146,normal_083,,
147,test_112,,
148,test_115,,
149,test_118,,
150,test_119,,
151,test_120,,
152,test_123,,
153,test_125,,
154,test_126,,
155,test_127,,
156,test_129,,
157,test_130,,
158,patient_000_node_0,,
159,normal_054,,
160,normal_117,,
161,patient_000_node_2,,
162,patient_000_node_4,,
163,patient_001_node_0,,
164,patient_001_node_1,,
165,patient_001_node_2,,
166,patient_001_node_3,,
167,patient_001_node_4,,
168,normal_153,,
169,patient_002_node_0,,
170,patient_002_node_1,,
171,patient_002_node_2,,
172,patient_002_node_3,,
173,patient_003_node_0,,
174,patient_003_node_1,,
175,patient_003_node_3,,
176,patient_003_node_4,,
177,patient_004_node_1,,
178,patient_004_node_2,,
179,patient_004_node_3,,
180,patient_005_node_0,,
181,normal_069,,
182,patient_005_node_1,,
183,patient_005_node_2,,
184,patient_006_node_0,,
185,patient_006_node_3,,
186,patient_007_node_0,,
187,patient_007_node_2,,
188,patient_008_node_2,,
189,normal_074,,
190,patient_008_node_3,,
191,patient_008_node_4,,
192,patient_009_node_2,,
193,patient_009_node_3,,
194,patient_009_node_4,,
195,patient_010_node_1,,
196,patient_010_node_2,,
197,patient_010_node_3,,
198,patient_011_node_1,,
199,patient_011_node_2,,
200,patient_011_node_3,,
201,patient_011_node_4,,
202,patient_012_node_1,,
203,patient_012_node_2,,
204,patient_013_node_1,,
205,patient_014_node_0,,
206,patient_014_node_1,,
207,patient_015_node_3,,
208,patient_016_node_2,,
209,patient_016_node_3,,
210,patient_016_node_4,,
211,normal_123,,
212,normal_109,,
213,patient_019_node_4,,
214,patient_020_node_0,,
215,patient_021_node_2,,
216,normal_108,,
217,patient_022_node_2,,
218,patient_022_node_3,,
219,patient_023_node_0,,
220,patient_023_node_1,,
221,patient_023_node_2,,
222,normal_157,,
223,patient_023_node_4,,
224,patient_024_node_0,,
225,patient_024_node_3,,
226,patient_025_node_0,,
227,patient_025_node_2,,
228,patient_025_node_3,,
229,patient_025_node_4,,
230,patient_027_node_1,,
231,patient_027_node_3,,
232,normal_129,,
233,patient_028_node_4,,
234,patient_029_node_4,,
235,patient_030_node_0,,
236,normal_010,,
237,patient_030_node_1,,
238,patient_030_node_2,,
239,patient_030_node_3,,
240,patient_031_node_0,,
241,patient_031_node_2,,
242,patient_031_node_3,,
243,patient_031_node_4,,
244,patient_032_node_0,,
245,patient_032_node_4,,
246,patient_033_node_0,,
247,patient_033_node_4,,
248,patient_034_node_0,,
249,patient_034_node_4,,
250,patient_035_node_0,,
251,normal_003,,
252,patient_035_node_1,,
253,patient_035_node_2,,
254,patient_035_node_3,,
255,patient_035_node_4,,
256,patient_036_node_0,,
257,patient_036_node_1,,
258,patient_036_node_2,,
259,patient_036_node_4,,
260,patient_037_node_0,,
261,patient_037_node_2,,
262,patient_037_node_3,,
263,patient_037_node_4,,
264,patient_038_node_3,,
265,patient_039_node_2,,
266,patient_039_node_3,,
267,patient_039_node_4,,
268,patient_040_node_0,,
269,normal_147,,
270,patient_040_node_3,,
271,patient_040_node_4,,
272,patient_041_node_2,,
273,patient_041_node_3,,
274,patient_041_node_4,,
275,patient_042_node_0,,
276,patient_042_node_2,,
277,patient_042_node_4,,
278,patient_043_node_0,,
279,patient_043_node_1,,
280,patient_043_node_2,,
281,normal_132,,
282,patient_043_node_3,,
283,patient_044_node_0,,
284,patient_045_node_2,,
285,patient_046_node_0,,
286,patient_047_node_1,,
287,patient_047_node_3,,
288,patient_047_node_4,,
289,patient_048_node_2,,
290,patient_048_node_3,,
291,patient_049_node_0,,
292,patient_049_node_3,,
293,patient_049_node_4,,
294,patient_050_node_0,,
295,normal_154,,
296,patient_050_node_2,,
297,patient_050_node_3,,
298,patient_051_node_3,,
299,normal_007,,
300,patient_052_node_4,,
301,patient_053_node_0,,
302,normal_008,,
303,patient_053_node_3,,
304,patient_053_node_4,,
305,patient_054_node_0,,
306,patient_054_node_1,,
307,patient_054_node_2,,
308,patient_054_node_3,,
309,patient_054_node_4,,
310,patient_055_node_0,,
311,patient_055_node_1,,
312,patient_055_node_3,,
313,patient_056_node_0,,
314,patient_056_node_1,,
315,patient_056_node_2,,
316,patient_056_node_3,,
317,patient_057_node_0,,
318,patient_057_node_1,,
319,patient_057_node_2,,
320,patient_057_node_3,,
321,patient_057_node_4,,
322,patient_058_node_0,,
323,patient_058_node_2,,
324,patient_058_node_3,,
325,patient_058_node_4,,
326,patient_059_node_0,,
327,patient_059_node_1,,
328,patient_059_node_2,,
329,patient_059_node_3,,
330,patient_059_node_4,,
331,normal_090,,
332,patient_060_node_1,,
333,patient_060_node_2,,
334,patient_060_node_4,,
335,patient_061_node_0,,
336,patient_061_node_1,,
337,patient_061_node_2,,
338,patient_061_node_3,,
339,normal_050,,
340,patient_062_node_4,,
341,patient_063_node_1,,
342,normal_017,,
343,patient_064_node_1,,
344,patient_064_node_2,,
345,patient_064_node_4,,
346,normal_156,,
347,patient_065_node_1,,
348,patient_065_node_3,,
349,patient_066_node_0,,
350,patient_066_node_1,,
351,patient_066_node_4,,
352,patient_067_node_0,,
353,patient_067_node_1,,
354,patient_067_node_2,,
355,patient_068_node_0,,
356,patient_068_node_2,,
357,patient_068_node_3,,
358,patient_069_node_4,,
359,normal_133,,
360,patient_070_node_1,,
361,patient_070_node_2,,
362,patient_070_node_4,,
363,patient_071_node_0,,
364,patient_071_node_1,,
365,patient_071_node_2,,
366,patient_071_node_3,,
367,patient_071_node_4,,
368,patient_072_node_3,,
369,patient_073_node_0,,
370,patient_073_node_2,,
371,normal_016,,
372,patient_073_node_4,,
373,patient_074_node_0,,
374,patient_074_node_2,,
375,patient_075_node_0,,
376,normal_149,,
377,patient_075_node_1,,
378,patient_075_node_3,,
379,patient_076_node_0,,
380,patient_077_node_0,,
381,patient_077_node_1,,
382,patient_077_node_3,,
383,patient_078_node_1,,
384,patient_078_node_3,,
385,patient_078_node_4,,
386,patient_079_node_1,,
387,patient_079_node_2,,
388,normal_096,,
389,patient_081_node_0,,
390,patient_081_node_3,,
391,patient_082_node_1,,
392,patient_082_node_2,,
393,patient_082_node_4,,
394,patient_083_node_0,,
395,patient_083_node_1,,
396,patient_083_node_3,,
397,patient_083_node_4,,
398,patient_084_node_0,,
399,patient_084_node_1,,
400,patient_084_node_4,,
401,patient_085_node_0,,
402,patient_085_node_1,,
403,patient_085_node_2,,
404,patient_085_node_3,,
405,patient_085_node_4,,
406,patient_086_node_1,,
407,patient_086_node_2,,
408,patient_086_node_3,,
409,patient_087_node_2,,
410,patient_087_node_3,,
411,patient_087_node_4,,
412,patient_088_node_2,,
413,patient_088_node_3,,
414,patient_089_node_0,,
415,patient_089_node_1,,
416,patient_089_node_2,,
417,patient_089_node_4,,
418,patient_090_node_0,,
419,normal_035,,
420,patient_090_node_1,,
421,patient_090_node_2,,
422,patient_090_node_4,,
423,patient_091_node_0,,
424,patient_091_node_1,,
425,normal_140,,
426,patient_093_node_0,,
427,patient_093_node_2,,
428,patient_093_node_3,,
429,patient_094_node_3,,
430,patient_095_node_1,,
431,patient_095_node_3,,
432,patient_095_node_4,,
433,patient_096_node_1,,
434,normal_118,,
435,patient_097_node_2,,
436,patient_098_node_0,,
437,patient_098_node_1,,
438,patient_098_node_2,,
439,normal_039,,
440,patient_098_node_3,,
441,patient_098_node_4,,
442,patient_099_node_0,,
443,patient_099_node_1,,
444,patient_099_node_3,,
445,tumor_050,,
446,tumor_065,,
447,tumor_008,,
448,tumor_040,,
449,tumor_001,,
450,tumor_002,,
451,tumor_082,,
452,tumor_037,,
453,tumor_033,,
454,tumor_095,,
455,tumor_009,,
456,tumor_044,,
457,tumor_089,,
458,tumor_056,,
459,tumor_079,,
460,tumor_045,,
461,tumor_003,,
462,tumor_022,,
463,tumor_068,,
464,tumor_039,,
465,tumor_010,,
466,tumor_077,,
467,tumor_047,,
468,tumor_031,,
469,tumor_085,,
470,tumor_088,,
471,tumor_030,,
472,tumor_062,,
473,tumor_043,,
474,tumor_098,,
475,tumor_064,,
476,tumor_102,,
477,tumor_104,,
478,tumor_057,,
479,tumor_100,,
480,tumor_013,,
481,tumor_015,,
482,tumor_086,,
483,tumor_084,,
484,tumor_058,,
485,tumor_080,,
486,tumor_034,,
487,tumor_087,,
488,tumor_054,,
489,tumor_024,,
490,tumor_073,,
491,tumor_075,,
492,tumor_099,,
493,tumor_017,,
494,tumor_101,,
495,tumor_018,,
496,tumor_026,,
497,tumor_111,,
498,tumor_094,,
499,tumor_110,,
500,tumor_014,,
501,tumor_059,,
502,tumor_028,,
503,tumor_007,,
504,tumor_071,,
505,tumor_092,,
506,test_001,,
507,test_002,,
508,test_004,,
509,test_008,,
510,test_010,,
511,tumor_042,,
512,test_011,,
513,test_013,,
514,test_016,,
515,tumor_063,,
516,test_021,,
517,test_026,,
518,test_027,,
519,test_029,,
520,test_030,,
521,test_038,,
522,test_040,,
523,test_046,,
524,test_048,,
525,test_051,,
526,test_052,,
527,test_061,,
528,test_064,,
529,test_066,,
530,test_068,,
531,test_071,,
532,test_073,,
533,test_075,,
534,test_079,,
535,test_082,,
536,test_084,,
537,test_090,,
538,test_094,,
539,test_099,,
540,test_105,,
541,test_110,,
542,test_113,,
543,test_117,,
544,test_122,,
545,patient_005_node_3,,
546,patient_005_node_4,,
547,patient_006_node_2,,
548,patient_006_node_4,,
549,tumor_048,,
550,patient_007_node_4,,
551,patient_008_node_0,,
552,patient_009_node_0,,
553,patient_009_node_1,,
554,patient_010_node_0,,
555,patient_010_node_4,,
556,patient_011_node_0,,
557,tumor_032,,
558,patient_012_node_0,,
559,tumor_081,,
560,patient_013_node_3,,
561,patient_013_node_4,,
562,patient_014_node_2,,
563,patient_014_node_3,,
564,patient_014_node_4,,
565,patient_015_node_1,,
566,patient_015_node_2,,
567,patient_015_node_4,,
568,patient_016_node_0,,
569,patient_016_node_1,,
570,patient_017_node_1,,
571,patient_017_node_2,,
572,patient_017_node_3,,
573,patient_018_node_1,,
574,patient_018_node_2,,
575,tumor_074,,
576,patient_018_node_3,,
577,patient_018_node_4,,
578,patient_019_node_0,,
579,patient_019_node_1,,
580,patient_019_node_2,,
581,patient_019_node_3,,
582,tumor_038,,
583,patient_020_node_1,,
584,patient_020_node_2,,
585,patient_020_node_4,,
586,patient_021_node_1,,
587,patient_021_node_3,,
588,patient_021_node_4,,
589,patient_022_node_1,,
590,patient_024_node_1,,
