,train,val,test
0,normal_030,patient_022_node_3,patient_079_node_2
1,normal_021,patient_082_node_0,test_058
2,normal_018,normal_127,patient_071_node_3
3,normal_064,patient_002_node_3,normal_103
4,normal_135,patient_036_node_4,test_050
5,normal_048,patient_090_node_1,patient_031_node_4
6,normal_029,patient_035_node_1,patient_011_node_1
7,normal_066,patient_098_node_0,patient_093_node_0
8,normal_052,patient_003_node_4,test_003
9,normal_062,patient_030_node_0,test_031
10,normal_014,patient_002_node_2,test_080
11,normal_097,normal_008,patient_041_node_1
12,normal_034,patient_050_node_2,patient_067_node_1
13,normal_119,normal_073,patient_040_node_4
14,normal_085,patient_098_node_4,patient_007_node_2
15,normal_026,patient_010_node_3,patient_067_node_2
16,normal_056,patient_023_node_0,normal_080
17,normal_075,normal_104,patient_073_node_4
18,normal_122,patient_089_node_4,test_022
19,normal_001,patient_043_node_4,patient_013_node_1
20,normal_022,normal_139,patient_099_node_2
21,normal_128,patient_066_node_4,patient_001_node_2
22,normal_121,patient_030_node_1,patient_078_node_4
23,normal_125,patient_034_node_0,patient_095_node_2
24,normal_011,patient_003_node_2,patient_024_node_3
25,normal_060,patient_000_node_0,patient_079_node_1
26,normal_126,patient_053_node_1,patient_047_node_0
27,normal_094,normal_031,patient_036_node_1
28,normal_045,normal_032,patient_027_node_3
29,normal_142,patient_025_node_1,test_127
30,normal_042,patient_017_node_0,patient_083_node_3
31,normal_071,patient_040_node_3,normal_057
32,normal_145,normal_037,patient_000_node_3
33,normal_137,patient_087_node_3,normal_152
34,normal_070,normal_116,patient_035_node_0
35,normal_101,normal_115,patient_078_node_1
36,normal_009,patient_048_node_4,test_028
37,normal_004,patient_055_node_3,patient_016_node_3
38,normal_089,normal_158,patient_081_node_3
39,normal_106,normal_069,patient_082_node_2
40,normal_100,patient_020_node_3,patient_008_node_3
41,normal_102,normal_053,normal_028
42,normal_082,test_101,normal_159
43,normal_076,patient_024_node_0,normal_044
44,normal_068,patient_008_node_1,test_072
45,normal_138,normal_010,test_055
46,normal_019,patient_021_node_2,patient_009_node_4
47,normal_036,patient_001_node_0,normal_134
48,normal_077,patient_041_node_2,patient_057_node_3
49,normal_084,patient_014_node_0,patient_095_node_3
50,normal_088,patient_078_node_3,test_077
51,normal_105,normal_013,patient_032_node_0
52,normal_141,patient_013_node_0,normal_111
53,normal_006,normal_107,normal_113
54,normal_143,test_118,patient_029_node_4
55,normal_002,normal_061,patient_037_node_2
56,normal_136,patient_094_node_4,patient_088_node_4
