,train,val,test
normal_037,True,False,False
normal_030,True,False,False
normal_021,True,False,False
normal_018,True,False,False
normal_064,True,False,False
normal_135,True,False,False
normal_029,True,False,False
normal_066,True,False,False
normal_139,True,False,False
normal_052,True,False,False
normal_062,True,False,False
normal_031,True,False,False
normal_034,True,False,False
normal_119,True,False,False
normal_085,True,False,False
normal_073,True,False,False
normal_026,True,False,False
normal_056,True,False,False
normal_013,True,False,False
normal_075,True,False,False
normal_152,True,False,False
normal_122,True,False,False
normal_001,True,False,False
normal_022,True,False,False
normal_121,True,False,False
normal_125,True,False,False
normal_011,True,False,False
normal_044,True,False,False
normal_060,True,False,False
normal_126,True,False,False
normal_094,True,False,False
normal_045,True,False,False
normal_142,True,False,False
normal_071,True,False,False
normal_145,True,False,False
normal_137,True,False,False
normal_070,True,False,False
normal_101,True,False,False
normal_009,True,False,False
normal_004,True,False,False
normal_106,True,False,False
normal_100,True,False,False
normal_104,True,False,False
normal_102,True,False,False
normal_082,True,False,False
normal_076,True,False,False
normal_068,True,False,False
normal_134,True,False,False
normal_019,True,False,False
normal_036,True,False,False
normal_159,True,False,False
normal_077,True,False,False
normal_032,True,False,False
normal_084,True,False,False
normal_088,True,False,False
normal_105,True,False,False
normal_006,True,False,False
normal_143,True,False,False
normal_158,True,False,False
normal_002,True,False,False
normal_136,True,False,False
normal_065,True,False,False
normal_144,True,False,False
normal_079,True,False,False
normal_005,True,False,False
normal_040,True,False,False
normal_020,True,False,False
normal_155,True,False,False
normal_061,True,False,False
normal_112,True,False,False
normal_033,True,False,False
normal_151,True,False,False
normal_127,True,False,False
normal_049,True,False,False
normal_025,True,False,False
normal_080,True,False,False
normal_051,True,False,False
normal_113,True,False,False
normal_124,True,False,False
normal_057,True,False,False
normal_115,True,False,False
normal_028,True,False,False
normal_063,True,False,False
normal_091,True,False,False
normal_103,True,False,False
normal_067,True,False,False
normal_092,True,False,False
normal_148,True,False,False
normal_160,True,False,False
normal_111,True,False,False
normal_023,True,False,False
normal_043,True,False,False
normal_099,True,False,False
normal_055,True,False,False
normal_058,True,False,False
normal_053,True,False,False
test_003,True,False,False
test_005,True,False,False
test_006,True,False,False
test_007,True,False,False
test_012,True,False,False
test_014,True,False,False
test_017,True,False,False
test_020,True,False,False
test_022,True,False,False
test_023,True,False,False
test_024,True,False,False
test_025,True,False,False
normal_047,True,False,False
test_031,True,False,False
test_032,True,False,False
